idwine,Type,Grapes,Harmonize,name
118162,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",La Régence Pauillac
118163,Dessert,['Muscat Blanc'],"['Spicy Food', 'Sweet Dessert']",Vidal Fleury Muscat de Beaumes-de-Venise
118164,Red,"['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château la Roseraie Dumont Puisseguin Saint-Émilion
118165,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Jean-Marc Millot Côte de Nuits-Villages 'Aux Faulques'
118166,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Domaine Blain-Gagnard Chassagne-Montrachet Premier Cru 'Morgeot' Blanc
118167,Red,"['Syrah/Shiraz', 'Grenache', 'Mourvedre']","['Beef', 'Lamb', 'Game Meat']",Château Fontvert Luberon Rouge
118168,Rosé,"['Syrah/Shiraz', 'Grenache']","['Pork', 'Rich Fish', 'Shellfish', 'Poultry']",Château la Canorgue Luberon Rosé
118169,White,"['Colombard', 'Chardonnay']","['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']",Louis Eschenauer Colombard - Chardonnay
118170,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Saint Pierre de Corbian Saint-Estèphe
118171,Red,['Syrah/Shiraz'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Delas Le Clos Rouge Crozes-Hermitage
118172,Red,['Gamay Noir'],"['Pasta', 'Veal', 'Pork', 'Poultry']",Olivier Depardon Domaine de la Béche Cuvée Vieilles Vignes Morgon
118173,Red,"['Mourvedre', 'Syrah/Shiraz', 'Grenache']","['Beef', 'Lamb', 'Game Meat']",Domaine la Roubine Gigondas
118174,White,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Domaine Laurent Tribut Côte de Léchet Chablis Premier Cru
118175,White,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Domaine Laroche Chablis Premier Cru 'Les Montmains'
118176,Red,"['Carignan/Cari√±ena', 'Garnacha']","['Beef', 'Pasta', 'Veal']",Domaine des 2 Ânes Premiers Pas Corbières
118177,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Louis Jadot - Domaine Gagey Savigny-lès-Beaune Clos des Guettes Blanc
118178,Rosé,['Cabernet Franc'],"['Beef', 'Pork', 'Game Meat', 'Poultry', 'Soft Cheese']",Famille Tessier La P'tite Annie Rosé
118179,Red,['Gamay Noir'],"['Pasta', 'Veal', 'Pork', 'Poultry']",Albert Bichot Brouilly Roche Rosé
118180,Red,['Pinot Noir'],"['Veal', 'Pork', 'Game Meat', 'Rich Fish', 'Poultry']",Domaine Les Bottes Rouges - Jean-Baptiste Menigoz La Pépée Pinot Noir
118181,Rosé,"['Syrah/Shiraz', 'Grenache', 'Cinsault']","['Pork', 'Shellfish', 'Vegetarian', 'Poultry']",Château Sainte Croix Charmeur Côtes de Provence Rosé
118182,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Château Belair-Coubet Côtes de Bourg
118183,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Michel Bouzereau Meursault 'Les Tessons'
118184,Red,['Pinot Nero'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Domaine Chanson Nuits-Saint-Georges
118185,White,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Jean-Paul & Benoit Droin Petit Chablis
118186,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Augey Bordeaux Rouge
118187,Rosé,['Pinot Noir'],"['Veal', 'Pork', 'Game Meat', 'Rich Fish', 'Poultry']",Grands Vins Selection Pinot Noir Rosé
118188,Sparkling,"['Pinot Noir', 'Gamay Noir', 'Chardonnay']","['Shellfish', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish']",Albert Bichot Crémant de Bourgogne Brut Rosé
118189,Red,"['Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Boston Margaux
118190,White,['Chardonnay'],"['Pasta', 'Vegetarian', 'Poultry', 'Lean Fish', 'Appetizer']",Domaine de Baron'arques Le Chardonnay Limoux Blanc
118191,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château La Rose Brana Saint-Estèphe
118192,Red,"['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Château Jandille Bordeaux Rouge
118193,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Domaine Michelot Meursault 'Sous La Velle'
118194,White,['Pinot Blanc'],"['Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Albert Boxler Pinot Blanc
118195,White,"['Sauvignon Blanc', 'Sémillon']","['Pork', 'Vegetarian', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish']",Dulong Bordeaux Blanc Sec
118196,Red,['Syrah/Shiraz'],"['Beef', 'Lamb', 'Game Meat']",Le Clos des Cazaux Cuvée des Templiers Vacqueyras
118197,White,['Riesling'],"['Pork', 'Rich Fish', 'Spicy Food', 'Vegetarian', 'Cured Meat']",Jean Sipp Riesling Grand Cru 'Kirchberg de Ribeauville'
118198,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Pierre Morey Les Tessons Meursault
118199,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Domaine Machard de Gramont Nuits-St-Georges Bourgogne 'Le Chapitre'
118200,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Philippe Chavy Puligny-Montrachet 'Les Corvées des Vignes'
118201,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Château Thomas-Laurent Bordeaux
118202,Red,['Cabernet Franc'],"['Beef', 'Pork', 'Game Meat', 'Poultry', 'Soft Cheese']",Yannick Amirault Saint Nicolas de Bourgueil La Source
118203,White,['Chardonnay'],"['Pasta', 'Vegetarian', 'Cured Meat']",Domaine des Deux Roches Tradition Saint-Véran
118204,Red,['Gamay Noir'],"['Pasta', 'Veal', 'Pork', 'Poultry']",Georges Duboeuf Chiroubles
118205,Red,['Cabernet Sauvignon'],"['Beef', 'Lamb', 'Spicy Food', 'Poultry']",Domaine du Pere Guillot Baron Guillot Cabernet Sauvignon
118206,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Spicy Food', 'Poultry']",Château Bélingard Bergerac Rouge
118207,White,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Olivier Tricon Chablis Premier Cru 'Montmains'
118208,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Château Haut La Valette Cuvée Caractères - Blaye Côtes de Bordeaux
118209,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Sylvain Pataille Chardonnay Marsannay
118210,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Domaine Philippe Pernot-Belicard Puligny-Montrachet
118211,Red,"['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Haut Peyroutas Saint-Émilion Grand Cru
118212,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Marks & Spencer Bourgogne Chardonnay
118213,White,['Pinot Blanc'],"['Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Domaine Zinck Pinot Blanc
118214,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Domaine Joseph Voillot Volnay 1er Cru 'Les Champans'
118215,Red,['Grenache'],"['Lamb', 'Pork', 'Poultry']",Rotem & Mounir Saouma Arioso Châteauneuf-du-Pape
118216,White,['Aligoté'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Fanny Sabre Bourgogne Aligoté
118217,Red,['Gamay Noir'],"['Pasta', 'Veal', 'Pork', 'Poultry']",Château du Chatelard Cuvée Les Vieux Granits Fleurie
118218,Red,"['Grenache', 'Carignan/Cari√±ena', 'Cinsault']","['Beef', 'Pasta', 'Veal']",Abbaye Sylva Plana Les Novices Faugères
118219,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Pierre André Corton-Charlemagne Grand Cru
118220,Rosé,"['Cinsault', 'Syrah/Shiraz', 'Grenache', 'Mourvedre', 'Carignan/Cari√±ena']","['Pork', 'Shellfish', 'Vegetarian', 'Poultry']",Elie Sumeire Côtes de Provence Rosé
118221,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Domaine Jacques Prieur Musigny Grand Cru
118222,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Philippe Bouzereau - Chateau de Citeaux Vieux Clos du Château de Cîteaux Meursault Blanc
118223,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Château Luc de Beaumont Blaye - Côtes de Bordeaux
118224,Red,['Syrah/Shiraz'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",M. Chapoutier Ermitage Les Greffieux
118225,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Antonin Rodet Château de Mercey Mercurey
118226,Red,"['Syrah/Shiraz', 'Grenache']","['Beef', 'Lamb', 'Game Meat']",Fontaine du Clos Confidences Côtes du Rhône
118227,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Dulong Bordeaux Supérieur
118228,White,['Pinot Gris'],"['Pork', 'Spicy Food', 'Mushrooms', 'Cured Meat']",Cave de Ribeauville Pinot Gris
118229,Red,"['Grenache', 'Mourvedre', 'Syrah/Shiraz']","['Beef', 'Pasta', 'Veal']",Ténèbres G.S.M.
118230,Red,"['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Saint Eugène Pessac-Léognan
118231,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Château Guillebot Plaisance Bordeaux Rouge
118232,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Vignobles Lassagne Château des Landes Cuvée Tradition Lussac-Saint-Émilion
118233,White,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Jean et Sébastien Dauvissat Vieilles Vignes Chablis 1er Cru 'Vaillons'
118234,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Bertrand Ravache La Croix des Ormes Lalande-de-Pomerol
118235,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Champ de Fleuret Bordeaux Supérieur
118236,White,['Viognier'],"['Pork', 'Rich Fish', 'Spicy Food', 'Poultry']",Domaine Mandeville Viognier
118237,White,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Louis Michel & Fils Petit Chablis
118238,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Digioia-Royer Vieilles Vignes Chambolle-Musigny 'Les Fremiéres'
118239,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Château de La Maltroye Chassagne-Montrachet 1er Cru Morgeot 'Vigne Blanche'
118240,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Vincent Girardin Volnay 1er Cru 'Santenots'
118241,Sparkling,"['Chardonnay', 'Pinot Noir']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Marc Hébrart Cuvèe de Réserve Brut Champagne Premier Cru
118242,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Terres Douces Bordeaux Rouge
118243,White,['Chardonnay'],"['Pasta', 'Vegetarian', 'Cured Meat']",Domaine de la Verpaille Vieilles Vignes Mâcon-Villages
118244,Sparkling,"['Chardonnay', 'Pinot Noir']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Colligny Père & Fils Réserve Sélection Brut Champagne
118245,Sparkling,"['Chardonnay', 'Pinot Noir']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Mailly L'Intemporelle Brut Rosé
118246,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Joseph Drouhin Volnay
118247,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Hudelot-Baillet Bourgogne Pinot Noir
118248,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Domaine Daniel Rion & Fils Bourgogne Pinot Noir
118249,Red,['Pinot Noir'],"['Veal', 'Game Meat', 'Poultry']",Pierre Cherrier & Fils Domaine de la Rossignole Sancerre Rouge
118250,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Château Haut Lignac Blaye - Côtes de Bordeaux
118251,Red,"['Syrah/Shiraz', 'Grenache']","['Beef', 'Lamb', 'Game Meat']",Domaine Coudoulis Hommage Lirac
118252,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Plincette Pomerol
118253,Red,"['Grenache', 'Mourvedre', 'Syrah/Shiraz']","['Beef', 'Lamb', 'Game Meat']",Laudun-Chusclan (Maison Sinnae) Domaine de Georand Côtes-du-Rhône-Villages 'Chusclan'
118254,Red,['Pinot Noir'],"['Veal', 'Game Meat', 'Poultry']",Isabelle et Pierre Clement (Domaine de Chatenoy) Menetou-Salon Classique Rouge
118255,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Terrey-Gros-Cailloux Saint-Julien
118256,Red,['Merlot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Enclos de Viaud Lalande-de-Pomerol
118257,Red,['Gamay Noir'],"['Pasta', 'Veal', 'Pork', 'Poultry']",Château de Saint Lager Brouilly
118258,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Domaine des Comtes Lafon Meursault-Genevrières Premier Cru
118259,White,['Sauvignon Blanc'],"['Pork', 'Shellfish', 'Spicy Food', 'Vegetarian', 'Goat Cheese']",Nicolas Gaudry Pouilly-Fumé
118260,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Francois Carillon Puligny-Montrachet 1er Cru 'Les Champ Gain'
118261,Red,"['Syrah/Shiraz', 'Grenache']","['Beef', 'Lamb', 'Game Meat']",Brunel de la Gardine Gigondas
118262,White,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Francois Martenot Ammonites Petit Chablis
118263,Sparkling,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Roland Champion Carte Noire Blanc de Blancs Brut Champagne Grand Cru 'Chouilly'
118264,Rosé,"['Syrah/Shiraz', 'Grenache', 'Cinsault']","['Pork', 'Shellfish', 'Vegetarian', 'Poultry']",Saint Andrieu Côtes de Provence Rosé
118265,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Belair Saint-Georges Saint-Georges-Saint-Émilion
118266,Red,['Syrah/Shiraz'],"['Beef', 'Lamb', 'Game Meat']",Auguste Clape Côtes du Rhône Rouge
118267,Rosé,"['Cabernet Sauvignon', 'Cabernet Franc']","['Beef', 'Lamb', 'Pork', 'Game Meat', 'Spicy Food', 'Poultry', 'Soft Cheese']",Lacheteau Cabernet d'Anjou Soupcon de Fruit
118268,Rosé,"['Syrah/Shiraz', 'Grenache', 'Cinsault']","['Pork', 'Shellfish', 'Vegetarian', 'Poultry']",Chateau Maupague Sainte-Victoire Côtes de Provence Rosé
118269,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",La Cave d'Augustin Florent Haut-Médoc
118270,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Arthur Barolet & Fils Prestige Bourgogne Pinot Noir
118271,White,['Sauvignon Blanc'],"['Pork', 'Vegetarian', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish']",Premius Sauvignon Bordeaux
118272,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Domaine Arlaud Chambolle-Musigny
118273,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Maison du Tastelune Bourgogne Pinot Noir
118274,Sparkling,['Pinot Noir'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Jacques Selosse Lieux-dits Mareuil Sur Ay Sous le Mont Extra Brut Champagne Premier Cru
118275,Red,"['Syrah/Shiraz', 'Grenache', 'Mourvedre']","['Beef', 'Lamb', 'Game Meat']",Laudun-Chusclan (Maison Sinnae) Les Amouriers Côtes-du-Rhône-Villages 'Chusclan' Rouge
118276,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Grandchemin Monplaisir Saint-Estèphe
118277,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château du Mayne Tradition Pomerol
118278,Sparkling,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Diebolt - Vallois Tradition Brut Champagne Grand Cru 'Cramant'
118279,Rosé,"['Grenache', 'Cinsault', 'Rolle/Rollo']","['Pork', 'Shellfish', 'Vegetarian', 'Poultry']",Château des Annibals Suivez-Moi-Jeune-Homme Coteaux Varois en Provence
118280,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Domaine Roger Belland La Fussière Maranges 1er Cru
118281,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Château du Grava Bordeaux Supérieur
118282,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",La Pousse d'Or Puligny-Montrachet 1er Cru 'Le Cailleret'
118283,Red,"['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Trapaud Cuvée La Chapelle Saint-Émilion Grand Cru
118284,Rosé,['Cabernet Franc'],"['Beef', 'Pork', 'Game Meat', 'Poultry', 'Soft Cheese']",Jean-Maurice Raffault Chinon Rosé
118285,Sparkling,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",André Jacquart Blanc de Blancs Extra Brut Mesnil Experience Champagne Grand Cru
118286,White,['Riesling'],"['Pork', 'Rich Fish', 'Spicy Food', 'Vegetarian', 'Cured Meat']",Domaine Barmès Buecher Riesling Alsace Grand Cru 'Hengst'
118287,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Expert Club Lalande-de-Pomerol
118288,Red,['Grenache'],"['Beef', 'Pasta', 'Lamb', 'Poultry']",Tramontane Grenache Noir
118289,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Château de Meursault Savigny-lès-Beaune Premier Cru Les Peuillets
118290,White,"['Grenache Blanc', 'Clairette', 'Viognier', 'Roussanne']","['Pork', 'Rich Fish', 'Maturated Cheese', 'Hard Cheese', 'Poultry', 'Cured Meat']",Tardieu-Laurent Côtes-du-Rhône Les Becs Fins Blanc
118291,Red,['Cabernet Sauvignon'],"['Beef', 'Lamb', 'Spicy Food', 'Poultry']",L'Odalet Cabernet Sauvignon
118292,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Domaine des Marechaudes Cuvée Préstige Vieilles Vignes Bourgogne Pinot Noir
118293,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Philippe et Vincent Lécheneaut Nuits-Saint-Georges Premier Cru 'Les Damodes'
118294,Red,"['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château La Mouline Moulis-en-Médoc
118295,Red,"['Syrah/Shiraz', 'Grenache', 'Mourvedre', 'Cinsault']","['Beef', 'Lamb', 'Game Meat']",Domaine Tourbillon Vieilles Vignes Gigondas
118296,Sparkling,"['Chardonnay', 'Pinot Noir', 'Pinot Blanc']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Alfred Gratien Brut Rosé Champagne
118297,Red,['Merlot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Abelyce Saint-Émilion Grand Cru
118298,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Chambert-Marbuzet Saint-Estèphe
118299,White,['Sauvignon Blanc'],"['Pork', 'Shellfish', 'Spicy Food', 'Vegetarian', 'Goat Cheese']",Claude Riffault Les Denisottes Sancerre Blanc
118300,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Domaine Faiveley Mercurey 'Vieilles Vignes'
118301,Sparkling,"['Chardonnay', 'Pinot Noir']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Dom Pérignon Oenothèque Brut Rosé Champagne
118302,Red,['Merlot'],"['Beef', 'Pasta', 'Veal']",Château de Pennautier Merlot de Pennautier
118303,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Bouchard Père & Fils Domaines du Chateau de Beaune Corton-Charlemagne Grand Cru
118304,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Cheval Quancard Château La Croix Margautot Haut-Médoc
118305,White,"['Riesling', 'Pinot Auxerrois', 'Gew√ºrztraminer']","['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Josmeyer Fleur de Lotus
118306,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Picourneau Haut-Médoc
118307,Red,"['Syrah/Shiraz', 'Cabernet Sauvignon', 'Cabernet Franc', 'Grenache', 'Merlot', 'Carignan/Cari√±ena']","['Beef', 'Pasta', 'Veal']",Calvet Fitou
118308,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Michel Sarrazin Givry 'Sous La Roche'
118309,White,['Grenache Blanc'],"['Pork', 'Rich Fish', 'Maturated Cheese', 'Hard Cheese', 'Poultry', 'Cured Meat']",Domaine de la Charbonnière Châteauneuf-du-Pape Blanc
118310,Red,['Pinot Noir'],"['Veal', 'Pork', 'Game Meat', 'Rich Fish', 'Poultry']",Jean-Marie Garnier Sélection du Sommelier Pinot Noir
118311,Sparkling,['Chardonnay'],"['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']",Pierlant Blanc de Blancs Demi-Sec
118312,White,['Roussanne'],"['Pork', 'Rich Fish', 'Maturated Cheese', 'Hard Cheese', 'Poultry', 'Cured Meat']",Domaine Raymond Usseglio & Fils Pure Roussane Châteauneuf-du-Pape
118313,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Domaine Antonin Guyon Corton-Charlemagne Grand Cru
118314,Red,"['Syrah/Shiraz', 'Grenache']","['Beef', 'Pasta', 'Veal']",Château Triniac Côtes du Roussillon Villages 'Latour de France'
118315,Sparkling,"['Chardonnay', 'Pinot Noir']","['Shellfish', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish']",Divin Aude Cuvée Royale Crémant de Limoux Brut
118316,Red,['Gamay Noir'],"['Pasta', 'Veal', 'Pork', 'Poultry']",Julien Sunier Wild Soul
118317,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Philippe Pacalet Meursault
118318,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Eugène Martin Bourgogne Pinot Noir
118319,Red,['Petit Verdot'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Louis Latour Bourgogne Hautes-Côtes de Beaune
118320,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Château Haut-Domingue Bordeaux
118321,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Domaine des Héritiers Louis Jadot Beaune 1er Cru Theurons
118322,Red,['Syrah/Shiraz'],"['Beef', 'Pasta', 'Veal']",Fortant Terroir D'Altitude Syrah
118323,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Fontaine-Gagnard Chassagne-Montrachet 1er Cru 'Les Vergers'
118324,Red,"['Syrah/Shiraz', 'Grenache', 'Mourvedre']","['Lamb', 'Pork', 'Poultry']",Olivier Ravoire Châteauneuf du Pape Rouge 'Caparaçon'
118325,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Domaine Roulot Meix Chavaux Meursault
118326,Red,['Pinot Noir'],"['Veal', 'Game Meat', 'Poultry']",Rene Carroi Sancerre Rouge
118327,Sparkling,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Henri Giraud Esprit de Giraud Aÿ Champagne
118328,Rosé,"['Cabernet Sauvignon', 'Grenache', 'Cinsault', 'Syrah/Shiraz']","['Pork', 'Shellfish', 'Vegetarian', 'Poultry']",Les Quatre Tours Classique Rosé
118329,White,['Melon de Bourgogne'],"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish']",Château de la Bretesche Muscadet Sèvre et Maine Sur Lie
118330,Rosé,"['Merlot', 'Petit Verdot', 'Cabernet Sauvignon']","['Beef', 'Lamb', 'Game Meat', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese', 'Poultry']",Domaine de Chevalier Rosé de Chevalier
118331,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Vincent & Sophie Morey Vieilles Vignes Chassagne-Montrachet Rouge
