idwine;Type;Grapes;Harmonize;name
112956;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Prieure-Lichine Le Cloitre du Prieure-Lichine Margaux
112957;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Pasta', 'Veal'];Arrogant Frog Seleccion de la Catrina Cabernet Sauvignon - Merlot
112958;White;['Sauvignon Blanc', 'Colombard'];['Rich Fish', 'Shellfish', 'Vegetarian'];Plaimont Le Gasconierre Cotes de Gascogne Blanc
112959;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Patrick Clerget Coteaux Bourguignons
112960;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau de France Pessac-Leognan
112962;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Pierre Peters L'Esprit Blanc de Blancs Champagne Grand Cru 'Le Mesnil-sur-Oger'
112963;White;['Sauvignon Blanc'];['Pork', 'Vegetarian', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish'];La Grande Cuvee de Dourthe Bordeaux Sauvignon Blanc
112964;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau La Croix du Casse Pomerol
112965;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Vegetarian', 'Poultry'];JP. Chenet Original Blanc de Blancs Brut
112966;White;['Sauvignon Blanc', 'Semillon', 'Muscadelle'];['Pork', 'Vegetarian', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish'];Chateau Bonnet Bordeaux Blanc
112967;Sparkling;['Pinot Meunier', 'Chardonnay', 'Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Ruinart Brut Rose Champagne
112968;Red;['Merlot', 'Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Pichon Baron Les Griffons Pauillac
112969;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Lynch-Moussas Les Hauts de Lynch-Moussas Haut-Medoc
112971;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Domaine Marquis d'Angerville Volnay Champans 1er Cru
112972;White;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Raveneau Chablis Premier Cru 'Montee de Tonnerre'
112973;Red;['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Soleil Puisseguin-Saint-Emilion
112974;Red;['Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Chateau La Tulipe de La Garde Merlot Bordeaux Superieur
112975;Rose;['Grenache'];['Pork', 'Shellfish', 'Vegetarian', 'Poultry'];Chateau de Berne Inspiration Rose
112976;White;['Chenin Blanc'];['Rich Fish', 'Vegetarian', 'Poultry', 'Soft Cheese'];Domaine des Baumard Savennieres Clos du Papillon
112977;Red;['Malbec', 'Merlot', 'Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Chateau Moulin Haut-Laroque Fronsac
112978;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Ramafort Medoc
112979;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Pierre Jean Larraque Chateau Vernous Medoc
112980;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Haut Condissas Prestige Medoc
112981;White;['Viognier'];['Pork', 'Rich Fish', 'Maturated Cheese', 'Hard Cheese', 'Poultry', 'Cured Meat'];Yves Cuilleron Condrieu Les Chaillets
112982;Sparkling;['Pinot Meunier', 'Chardonnay', 'Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Jacquesson Cuvee No 739 Extra-Brut Champagne
112983;White;['Riesling'];['Pork', 'Rich Fish', 'Spicy Food', 'Vegetarian', 'Cured Meat'];Domaine Weinbach Clos des Capucins Cuvee Sainte Catherine Riesling Alsace Grand Cru Schlossberg
112984;White;['Geworztraminer'];['Pork', 'Rich Fish', 'Spicy Food', 'Poultry', 'Soft Cheese'];Willm Riesling Reserve
112987;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Lou Dumont Gevrey-Chambertin
112988;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau du Moulin Rouge Haut-Medoc
112989;Red;['Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Barrail du Blanc Saint-Emilion Grand Cru
112990;Red;['Merlot', 'Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Faizeau Selection Vieilles Vignes Montagne-Saint-Emilion
112991;Red;['Merlot', 'Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Trimoulet Saint-Emilion Grand Cru
112993;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Marzy Pomerol
112994;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Guadet Saint-Emilion Grand Cru (Grand Cru Classe)
112995;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Domaine Marguerite Dupasquier Bourgogne Pinot Noir
112998;White;['Pinot Gris'];['Pork', 'Spicy Food', 'Mushrooms', 'Cured Meat'];Jean Biecher Pinot Gris Organic
112999;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Grand Corbin Manuel Saint-Emilion Grand Cru
113001;White;['Sauvignon Blanc'];['Pork', 'Shellfish', 'Spicy Food', 'Vegetarian', 'Goat Cheese'];Domaine du Nozay Sancerre Blanc
113003;Red;['Pinot Noir'];['Veal', 'Game Meat', 'Poultry', 'Mushrooms'];Trimbach Pinot Noir Alsace Reserve
113004;White;['Chenin Blanc'];['Rich Fish', 'Vegetarian', 'Poultry', 'Soft Cheese'];Famille Bougrier Roche Fleurie Chenin Blanc Vouvray
113005;White;['Viognier'];['Pork', 'Rich Fish', 'Maturated Cheese', 'Hard Cheese', 'Poultry', 'Cured Meat'];Stephane Montez - Domaine du Monteillet Les Grandes Chaillees Condrieu
113006;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Haussmann Baron Eugene Bordeaux Superieur
113007;White;['Sauvignon Gris'];['Pork', 'Vegetarian', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish'];Chateau Marjosse Bordeaux Blanc
113010;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Maison Roche de Bellene Bellenos Cuvee Rouge
113011;White;['Chardonnay'];['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat'];La Cave d'Augustin Florent Bourgogne Chardonnay
113012;Sparkling;['Chardonnay', 'Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Duval-Leroy Cuvee des Roys Champagne
113013;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Domaine Armand Rousseau Chambertin Grand Cru
113016;White;['Chardonnay'];['Pasta', 'Rich Fish', 'Shellfish', 'Mild Cheese', 'Soft Cheese', 'Cured Meat'];Ropiteau Freres Chardonnay Les Plants Nobles
113017;Red;['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Destieux Saint-Emilion Grand Cru (Grand Cru Classe)
113018;White;['Sauvignon Blanc'];['Pork', 'Shellfish', 'Spicy Food', 'Vegetarian', 'Goat Cheese'];Domaine Vacheron Sancerre Le Paradis
113019;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Bel-Orme Tronquoy de Lalande Haut-Medoc
113020;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Chateau Quinsac Bordeaux Superieur
113021;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Mouton Cadet Reserve Graves Rouge
113022;White;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Billaud-Simon Chablis
113023;White;['Pinot Gris'];['Pork', 'Spicy Food', 'Mushrooms', 'Cured Meat'];Hugel Classic Pinot Gris
113025;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Domaine de la Solitude Pessac-Leognan
113027;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Chateau Tour de Bigorre Bordeaux
113028;Red;['Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Moulin Saint-Georges Saint-Emilion Grand Cru
113029;Red;['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Lagrave-Cissan Haut-Medoc
113031;Red;['Cabernet Sauvignon'];['Beef', 'Veal', 'Game Meat', 'Poultry'];L.G.B. Passion de France Cabernet Sauvignon
113032;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Fonbadet Pauillac
113033;Red;['Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau de Bel-Air Lalande-de-Pomerol
113034;Red;['Gamay Noir'];['Pasta', 'Veal', 'Pork', 'Poultry'];G. Descombes Brouilly
113035;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Les Barraillots Margaux
113036;White;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Union des Viticulteurs de Chablis Petit Chablis
113037;Sparkling;['Chardonnay', 'Pinot Noir', 'Pinot Meunier'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];M. Brugnon Brut Rose
113039;Red;['Malbec', 'Merlot', 'Tannat'];['Beef', 'Lamb', 'Poultry'];Jean-Luc Baldes Clos Triguedina Malbec
113040;White;['Chardonnay'];['Rich Fish', 'Vegetarian', 'Poultry'];Jeff Carrel Morillon Blanc
113041;Red;['Cabernet Franc'];['Beef', 'Pork', 'Game Meat', 'Poultry', 'Soft Cheese'];Domaine de Pallus Les Pensees de Pallus Chinon
113042;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Domaine Comte Georges de Vogue Musigny Grand Cru (Cuvee Vieilles Vignes)
113043;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Leoville Las Cases Le Petit Lion Saint-Julien
113045;Sparkling;['Pinot Noir'];['Shellfish', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish'];Arthur Metz Cremant d'Alsace Brut Millesime
113047;Red;['Cabernet Sauvignon'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Chateau d'Issan Moulin d'Issan Bordeaux Superieur
113048;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];La Guyennoise Saint Andre Medoc
113049;White;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Domaines Brocard Pierre de Prehy Chablis
113050;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Michel Juillot Mercurey Premier Cru 'Clos Tonnerre'
113051;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Peyre-Lebade Haut-Medoc
113052;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Haura Graves
113053;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Maison Roche de Bellene Pinot Noir Bourgogne Vieilles Vignes
113054;White;['Chardonnay'];['Pasta', 'Vegetarian', 'Poultry', 'Lean Fish', 'Appetizer'];Chateau dAussieres Aussieres Blanc (Chardonnay)
113055;Red;['Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau La Confession Saint-Emilion Grand Cru
113056;White;['Chardonnay'];['Pasta', 'Vegetarian', 'Poultry', 'Lean Fish', 'Appetizer'];Chevalier de Fauvert Chardonnay
113057;Red;['Merlot'];['Beef', 'Pasta', 'Veal'];Louis Eschenauer Merlot
113058;White;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Garnier et Fils Chablis
113059;Red;['Cabernet Franc'];['Beef', 'Pork', 'Game Meat', 'Poultry', 'Soft Cheese'];Pascal Lambert Les Terrasses Chinon
113060;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Francois Martenot Parfums de Vigne Pinot Noir
113062;Dessert;['Sauvignon Blanc', 'Semillon', 'Muscadelle'];['Fruit Dessert', 'Blue Cheese'];Chateau de Malle Sauternes (Grand Cru Classe)
113063;White;['Chardonnay'];['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat'];Domaine Henri Boillot Puligny-Montrachet 1er Cru 'Clos de La Mouchere' (Monopole)
113065;Sparkling;['Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Mild Cheese', 'Soft Cheese'];Pol Roger Rose Brut Champagne
113066;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Tour Saint-Christophe Saint-Emilion Grand Cru
113068;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Domaine Faiveley Mercurey Rouge
113069;Sparkling;['Pinot Noir', 'Gamay Noir'];['Shellfish', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish'];Paul Delane Cremant de Bourgogne Blanc de Noirs Brut
113070;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Tarlant Zero Brut Nature Champagne
113071;Red;['Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Arnauton Fronsac
113072;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Chantemerle Medoc
113073;White;['Chardonnay'];['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat'];Domaine Faiveley Mercurey Clos Rochette
113074;White;['Petit Manseng', 'Petit Courbu'];['Pasta', 'Pork', 'Shellfish', 'Lean Fish'];Chateau Montus Blanc Sec Pacherenc du Vic-Bilh
113075;Red;['Grenache'];['Beef', 'Lamb', 'Game Meat'];Domaine du Gour de Chaule Cuvee Tradition Gigondas
113076;Sparkling;['Chardonnay', 'Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Bollinger La Grande Annee Rose Brut Champagne
113077;Sparkling;['Pinot Noir', 'Gamay Noir'];['Shellfish', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish'];Andre Delorme Cremant de Bourgogne Blanc de Noirs Brut
113078;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Pontet-Fumet Saint-Emilion Grand Cru
113079;Red;['Tibouren'];['Beef', 'Lamb', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese'];Clos Cibonne Cuvee Speciale Tibouren Rouge (Tradition)
113080;Sparkling;['Chardonnay', 'Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Gosset Vintage Extra Brut Celebris Champagne
113081;Red;['Mourvedre'];['Beef'];Chateau Pradeaux Bandol
113083;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Soleil Promesse Puisseguin-Saint-Emilion
113085;Red;['Gamay Noir'];['Pasta', 'Veal', 'Pork', 'Poultry'];Joseph Drouhin Beaujolais-Villages Nouveau Primeur
113086;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau du Grand Soussans Margaux
113087;Red;['Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau de Barbe Blanche Chateau Tour de Segur Lussac-Saint-Emilion
113088;Red;['Cabernet Sauvignon'];['Beef', 'Pasta', 'Veal'];Paul Mas Vignes de Nicole Cabernet Sauvignon - Merlot Pays d'Oc
113089;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Louis Jadot Cote de Beaune Villages
113090;White;['Riesling'];['Pork', 'Rich Fish', 'Spicy Food', 'Vegetarian', 'Cured Meat'];Cave Vinicole de Hunawihr Riesling Alsace Grand Cru 'Rosacker'
113092;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Vincent Girardin Bourgogne Cuvee Saint-Vincent Rouge
113093;White;['Chardonnay'];['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat'];Chateau de La Maltroye Chassagne-Montrachet
113094;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Larrivet Haut-Brion Les Demoiselles Pessac-Leognan
113095;Red;['Gamay Noir'];['Pasta', 'Veal', 'Pork', 'Poultry'];G. Descombes Morgon
113096;Sparkling;['Chardonnay', 'Pinot Nero'];['Pork', 'Rich Fish', 'Shellfish', 'Mild Cheese', 'Soft Cheese'];Laurent-Perrier Brut Millesime Champagne
113097;Sparkling;['Pinot Meunier', 'Chardonnay', 'Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Jeanmaire Cuvee Brut Champagne
113098;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau La Gaffeliere Clos La Gaffeliere Saint-Emilion Grand Cru
113099;Red;['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Pontac Lynch Margaux
113100;Red;['Gamay Noir'];['Pasta', 'Veal', 'Pork', 'Poultry'];Chateau de Pierreux Brouilly
113101;White;['Grenache Blanc', 'Bourboulenc', 'Viognier', 'Marsanne'];['Pork', 'Rich Fish', 'Maturated Cheese', 'Hard Cheese', 'Poultry', 'Cured Meat'];Paul Jaboulet Aine Viognier Secret de Famille
113102;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Franck Bonville Blanc de Blancs Brut Champagne Grand Cru 'Avize'
113103;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Chauvin Saint-Emilion Grand Cru (Grand Cru Classe)
113104;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Spicy Food', 'Poultry'];Domaine de Trevallon Alpilles Rouge
113105;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Berliquet Saint-Emilion Grand Cru (Grand Cru Classe)
113108;Sparkling;['Chardonnay', 'Pinot Noir', 'Pinot Meunier'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Taittinger Comtes de Champagne Rose
113109;White;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Domaine William Fevre Chablis Premier Cru 'Montmains'
113111;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Domaine des Perdrix Nuits-Saint-Georges  Aux Perdrix Premier Cru
113113;Rose;['Cinsault'];['Pork', 'Shellfish', 'Vegetarian', 'Poultry'];Peyrassol Cuvee des Commandeurs Cotes de Provence Rose
113114;White;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Pascal Bouchard Le Classique Chablis
113115;White;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Domaine Laroche Chablis Premier Cru Les Fourchaumes Vieilles Vignes
113116;White;['Sauvignon Blanc', 'Semillon', 'Sauvignon Gris'];['Pork', 'Vegetarian', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish'];Chateau de Chantegrive Caroline Graves
113117;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau La Grande Clotte Lussac-Saint-Emilion
113118;White;['Sauvignon Blanc'];['Pork', 'Shellfish', 'Spicy Food', 'Vegetarian', 'Goat Cheese'];Chateau de Sancerre Cuvee du Connetable Sancerre
113120;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Chateau Carignan Cadillac - Cotes de Bordeaux
113121;White;['Chardonnay'];['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat'];Domaine Leflaive Batard-Montrachet Grand Cru
113122;White;['Marsanne'];['Pork', 'Rich Fish', 'Maturated Cheese', 'Hard Cheese', 'Poultry', 'Cured Meat'];Paul Jaboulet Aine Hermitage Le Chevalier du Sterimberg
113123;Red;['Nielluccio', 'Sciacarello'];['Beef', 'Lamb', 'Veal', 'Poultry', 'Cured Meat'];Abbatucci Faustine Vieilles Vignes Rouge
113124;Red;['Cabernet Sauvignon', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Les Trois Manoirs Medoc
113126;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Chateau Margerots Bordeaux Superieur
113127;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];La Croix d'Austeran Bordeaux Rouge
113128;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Mongeard-Mugneret Grands-Echezeaux Grand Cru
113130;Rose;['Cabernet Franc'];['Beef', 'Pork', 'Game Meat', 'Poultry', 'Soft Cheese'];Plessis-Duval Cabernet d'Anjou Rose
113131;Red;['Grenache'];['Lamb', 'Pork', 'Poultry'];Bosquet des Papes Chante Le Merle Vieilles Vignes Chateauneuf-du-Pape
113132;Red;['Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Bernateau Saint-Emilion Grand Cru
113133;Red;['Grenache'];['Beef', 'Lamb', 'Game Meat'];Domaine de Fondreche Ventoux
113134;Red;['Gamay Noir'];['Pasta', 'Veal', 'Pork', 'Poultry'];Georges Duboeuf Morgon
113135;Red;['Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Chateau Couronneau Bordeaux Superieur
113136;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau La Garde La Terrasse de La Garde Pessac-Leognan
113137;Red;['Grenache'];['Lamb', 'Pork', 'Poultry'];Domaine du Grand Tinel Alexis Establet Chateauneuf-du-Pape
113138;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];L'Aurore Bourgogne Pinot Noir
113139;Red;['Cabernet Sauvignon'];['Beef', 'Pasta', 'Veal'];Baron d'Arignac Cabernet Sauvignon
113140;Red;['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Grand Clapeau Olivier Haut-Medoc
113141;Red;['Cabernet Franc', 'Malbec', 'Merlot', 'Cabernet Sauvignon'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Chateau Cap Saint-Martin Blaye - Cotes de Bordeaux
113142;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];David Moreau Pinot Noir Bourgogne
113144;Red;['Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Mazeyres Le Seuil de Mazeyres Pomerol
113145;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Chateau de Parenchere Cuvee Raphael
113146;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Haut-Vigneau Pessac-Leognan
113147;Red;['Grenache'];['Lamb', 'Pork', 'Poultry'];Delas Haute Pierre Chateauneuf-du-Pape
113148;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Doyac Haut-Medoc
113149;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Clos Beauregard Pomerol
113152;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Domaine Gros Frere et Soeur Bourgogne Hautes Cotes de Nuits Rouge
113153;Dessert;['Sauvignon Blanc', 'Semillon', 'Muscadelle'];['Fruit Dessert', 'Blue Cheese'];Chateau Roumieu Sauternes
113154;Red;['Gamay Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Louis Latour Bourgogne Gamay
113156;Red;['Grenache'];['Lamb', 'Pork', 'Poultry'];Roger Sabon Chateauneuf-du-Pape Reserve
113157;Red;['Merlot'];['Beef', 'Pasta', 'Veal'];Yvon Mau Merlot
113158;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Haut-Logat Haut-Medoc
113159;Red;['Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Rol Valentin Saint-Emilion Grand Cru
113160;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Magnan La Gaffeliere Saint-Emilion Grand Cru
113161;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Guillemin La Gaffeliere Saint-Emilion Grand Cru
113162;Red;['Pinot Noir'];['Veal', 'Pork', 'Game Meat', 'Rich Fish', 'Poultry'];Pierre Labet - Francois Labet Pinot Noir
113163;White;['Chardonnay', 'Sauvignon Blanc'];['Pork', 'Vegetarian', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish'];Baron Philippe de Rothschild Mapu Sauvignon Blanc - Chardonnay
113165;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau La Garde Pessac-Leognan
113166;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Domaine de Courteillac Merlot - Cabernet
113167;Dessert;['Semillon', 'Sauvignon Blanc'];['Fruit Dessert', 'Blue Cheese'];Chateau Rabaud-Promis Sauternes (Premier Grand Cru Classe)
113168;Red;['Grenache'];['Beef', 'Pasta', 'Lamb', 'Poultry'];Paul Mas Grenache Noir
